Player;Tm;2018-19;2019-20;2020-2021;2021-2022;2022-2023;2023-2024;Signed Using;Guaranteed
Stephen Curry;GSW;$37,457,154;$40,231,758;$43,006,362;$45,780,966;;;Bird Rights;$166,476,240
Chris Paul;HOU;$35,654,150;$38,506,482;$41,358,814;$44,211,146;;;;$159,730,592
Russell Westbrook;OKC;$35,654,150;$38,178,000;$41,006,000;$43,848,000;$46,662,000;;Bird Rights;$158,686,150
LeBron James;LAL;$35,654,150;$37,436,858;$39,219,565;$41,002,273;;;;$113,310,573
Blake Griffin;DET;$32,088,932;$34,234,964;$36,595,996;$38,957,028;;;Bird Rights;$102,919,892
Gordon Hayward;BOS;$31,214,295;$32,700,690;$34,187,085;;;;Cap space;$63,914,985
Kyle Lowry;TOR;$31,200,000;$33,296,296;;;;;Bird Rights;$64,496,296
Paul George;OKC;$30,560,700;$33,005,556;$35,450,412;$37,895,268;;;Maximum Salary;$99,016,668
Mike Conley;MEM;$30,521,116;$32,511,623;$34,504,132;;;;Cap Space;$85,459,122
James Harden;HOU;$30,431,854;$37,800,000;$40,824,000;$43,848,000;$46,872,000;;Bird Rights;$152,903,854
Kevin Durant;GSW;$30,000,000;$31,500,000;;;;;;$30,000,000
Paul Millsap;DEN;$29,730,769;$30,500,000;;;;;Cap space;$29,730,769
Al Horford;BOS;$28,928,710;$30,123,015;;;;;Cap Space;$28,928,710
Damian Lillard;POR;$27,977,689;$29,802,321;$31,626,953;;;;1st Round Pick;$89,406,963
DeMar DeRozan;SAS;$27,739,975;$27,739,975;$27,739,975;;;;Cap Space;$55,479,950
Chris Bosh;MIA;$26,837,720;;;;;;;$26,837,720
Otto Porter;WAS;$26,011,913;$27,250,576;$28,489,239;;;;Bird Rights;$53,262,489
Jrue Holiday;NOP;$25,976,111;$26,131,111;$26,131,111;$27,020,000;;;Bird Rights;$78,238,333
CJ McCollum;POR;$25,759,766;$27,556,959;$29,354,152;;;;1st Round Pick;$82,670,877
Carmelo Anthony;ATL;$25,534,253;;;;;;;$25,534,253
Andrew Wiggins;MIN;$25,467,250;$27,270,000;$29,290,000;$31,310,000;$33,330,000;;1st Round Pick;$146,667,250
Joel Embiid;PHI;$25,467,250;$27,270,000;$29,290,000;$31,310,000;$33,330,000;;1st Round Pick;$25,467,250
Bradley Beal;WAS;$25,434,263;$27,093,019;$28,751,775;;;;Cap Space;$81,279,057
Anthony Davis;NOP;$25,434,263;$27,093,019;$28,751,775;;;;1st Round Pick;$52,527,282
Andre Drummond;DET;$25,434,263;$27,093,019;$28,751,775;;;;Cap Space;$52,527,282
Hassan Whiteside;MIA;$25,434,263;$27,093,018;;;;;Cap Space;$25,434,263
Nikola Jokic;DEN;$24,605,181;$27,504,630;$29,542,010;$31,579,390;;;;$146,847,981
Steven Adams;OKC;$24,157,304;$25,842,697;$27,528,090;;;;1st Round Pick;$77,528,091
Giannis Antetokounmpo;MIL;$24,157,304;$25,842,697;$27,528,090;;;;1st Round Pick;$77,528,091
Kevin Love;CLE;$24,119,025;$28,900,000;$31,300,000;$31,300,000;$28,900,000;;Bird Rights;$144,519,025
Marc Gasol;MEM;$24,119,025;$25,595,700;;;;;Bird Rights;$24,119,025
Chandler Parsons;MEM;$24,107,258;$25,102,511;;;;;Cap Space;$49,209,769
Harrison Barnes;DAL;$24,107,258;$25,102,512;;;;;Cap Space;$24,107,258
Nicolas Batum;CHO;$24,000,000;$25,565,217;$27,130,434;;;;Cap Space;$49,565,217
Rudy Gobert;UTA;$23,241,573;$25,008,427;$26,525,281;;;;1st Round Pick;$74,775,281
Kawhi Leonard;TOR;$23,114,067;$21,329,752;;;;;Bird Rights;$23,114,067
DeAndre Jordan;DAL;$22,900,000;;;;;;;$22,900,000
LaMarcus Aldridge;SAS;$22,347,015;$26,000,000;$24,000,000;;;;Cap Space;$55,347,015
Serge Ibaka;TOR;$21,666,667;$23,271,604;;;;;Cap space;$44,938,271
Aaron Gordon;ORL;$21,590,909;$19,863,636;$18,136,364;$16,409,091;;;;$76,000,000
Danilo Gallinari;LAC;$21,587,579;$22,615,559;;;;;Sign and Trade;$44,203,138
Victor Oladipo;IND;$21,000,000;$21,000,000;$21,000,000;;;;1st Round Pick;$63,000,000
Jimmy Butler;PHI;$20,445,779;$19,841,627;;;;;Bird Rights;$20,445,779
Ryan Anderson;PHO;$20,421,546;$15,600,000;;;;;Cap Space;$36,021,546
Kyrie Irving;BOS;$20,099,189;$21,329,750;;;;;Bird Rights;$20,099,189
Jabari Parker;CHI;$20,000,000;$20,000,000;;;;;;$20,000,000
Zach LaVine;CHI;$19,500,000;$19,500,000;$19,500,000;$19,500,000;;;;$78,000,000
Tyler Johnson;MIA;$19,245,370;$19,245,370;;;;;Cap Space;$19,245,370
John Wall;WAS;$19,169,800;$37,800,000;$40,824,000;$43,848,000;$46,872,000;;Bird Rights;$141,641,800
George Hill;MIL;$19,000,000;$18,000,000;;;;;Cap space;$20,000,000
Jeff Teague;MIN;$19,000,000;$19,000,000;;;;;Cap space;$19,000,000
Klay Thompson;GSW;$18,988,725;;;;;;1st Round Pick;$18,988,725
Dwight Howard;BRK;$18,919,725;;;;;;;$18,919,725
Enes Kanter;NYK;$18,622,514;;;;;;Bird Rights;$18,622,514
Wesley Matthews;DAL;$18,622,514;;;;;;Cap Space;$18,622,514
Joakim Noah;NYK;$18,530,000;$6,431,666;$6,431,666;$6,431,666;;;;$37,824,998
Allen Crabbe;BRK;$18,500,000;$18,500,000;;;;;Cap Space;$18,500,000
Goran Dragic;MIA;$18,109,175;$19,217,900;;;;;Bird Rights;$18,109,175
Kent Bazemore;ATL;$18,089,887;$19,269,662;;;;;Cap Space;$18,089,887
Evan Turner;POR;$17,868,852;$18,606,557;;;;;Cap Space;$36,475,409
Draymond Green;GSW;$17,469,565;$18,539,130;;;;;Bird Rights;$36,008,695
Tristan Thompson;CLE;$17,469,565;$18,539,130;;;;;Bird Rights;$36,008,695
